Model_id,Year,Version_id,share,delta_iia,price,dpm,hp2wt,size,turbo,trans,Year_1986,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,model_class_2,model_class_3,model_class_4,model_class_5,cyl_2,cyl_4,cyl_6,cyl_8,drive_2,drive_3,Intercept
10,1998,1001,.0002225677162642,-8.287969285446941,19.15791320800781,3.101073764264584,5.527861595153809,.7507463097572327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,1999,1002,.0005043970886618,-7.460056990153626,16.45307540893555,3.168870508670807,6.501011371612549,.7553404569625854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2000,1002,.0006224898388609,-7.243800933882864,16.17019462585449,3.793106973171234,6.459948539733887,.7553404569625854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2001,1002,.000624253123533,-7.249538656317179,15.81815338134766,3.568477183580399,6.459948539733887,.7607647776603699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2002,1002,.0005863063270226,-7.309940956386798,15.75072288513184,3.265639394521713,6.439610958099365,.7308435440063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2003,1002,.0004602500121109,-7.558289645720196,15.46434020996094,3.741089254617691,6.439610958099365,.7308435440063477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2004,1003,.0006671784212813,-7.18721476574454,16.95774459838867,4.136794805526733,7.754164218902588,.7622543573379517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2005,1003,.0006845100433566,-7.159883269584646,16.53791618347168,4.884482175111771,7.754164218902588,.7749449610710144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2006,1003,.0006375429802574,-7.236135179862559,16.24608039855957,5.457184836268425,7.409534931182861,.7749449610710144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2007,1003,.0005321493954398,-7.419542332725958,17.00857734680176,5.925538018345833,7.507237434387207,.7759684324264526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2008,1003,.0004192829946987,-7.667819598667418,15.54825115203857,6.456691026687622,7.493478775024414,.7759684324264526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2009,1003,.0003146982053295,-7.988530652739526,16.87221908569336,4.829201102256775,7.969789505004883,.8266658782958984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
10,2010,1003,.0002754926099442,-8.11488123407802,16.94143104553223,5.508128181099892,7.736708641052246,.8266658782958984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
10,2011,1003,.0002612071111798,-8.159680144241761,16.5302848815918,6.965350359678268,7.736708641052246,.8275123834609985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
10,2012,1003,.0002874839992728,-8.051499523178903,16.33173561096191,6.669804453849792,7.73334264755249,.8211632370948792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
10,2013,1003,.0002137156989193,-8.340372197163383,16.2243824005127,6.385958194732666,7.940187454223633,.8211632370948792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
10,2014,1003,.0001212912393385,-8.899265941585922,16.55984878540039,6.138870865106583,7.672287464141846,.8211632370948792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1
11,2014,1101,.0000501821850776,-9.781800447051296,15.54508781433105,4.975361377000809,7.247054100036621,.7918382883071899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
11,2015,1101,.0003833867085632,-7.745912059348917,14.97610569000244,3.643597662448883,7.247054100036621,.7918382883071899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
12,2003,1201,.0001212321440107,-8.892352239065238,16.97560119628906,3.611476719379425,6.19195032119751,.7289144396781921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,2004,1201,.0002608365612105,-8.126378265144364,13.81089210510254,4.15588915348053,6.19195032119751,.7289144396781921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,2005,1201,.0002969995839521,-7.994855848782665,13.37065982818604,4.907028004527092,6.19195032119751,.7289144396781921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,2006,1201,.0003178663901053,-7.932125737046078,13.64450550079346,5.247528105974197,6.346749305725098,.7289144396781921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,2007,1201,.000292893673759,-8.016656946178768,13.38532543182373,5.427991226315498,6.346749305725098,.7289144396781921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,2008,1201,.000283049303107,-8.060744597220078,12.95538139343262,5.999341607093811,6.294135570526123,.7289144396781921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
12,2009,1201,.000231074198382,-8.297405889932403,14.15539073944092,4.202766716480255,5.878911972045898,.7639554142951965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
