Model_id,Year,i_import,diffiv_local_0,diffiv_local_1,diffiv_local_2,diffiv_local_3,diffiv_ed_0,blpiv_0,blpiv_1,blpiv_2,blpiv_3,blpiv_4,blpiv_5
21,1987,1,33,28,30,37,89.59747181669105,4.156700894236565,5.297557830810547,.5839539766311646,0,1,1
21,1988,1,43,36,33,28,92.65674887804155,3.983136266469955,5.297557830810547,.5812378525733948,0,1,1
21,1989,1,44,38,32,30,96.95288166257346,4.105329141020775,5.297557830810547,.5812378525733948,0,1,1
21,1990,1,43,41,32,27,94.86835430860704,4.113135114312172,5.503759384155273,.6812965869903564,0,1,1
21,1991,1,51,46,26,35,99.83208972433179,3.86565700173378,5.503759384155273,.6812965869903564,0,1,1
21,1992,1,52,41,27,29,98.38074757691344,3.70989628136158,5.503759384155273,.6812965869903564,0,1,1
21,1993,1,53,33,28,29,95.39920948764201,3.541338816285133,5.503759384155273,.6812965869903564,0,0,1
22,1985,0,41,50,19,14,91.79123270239884,35.04724651575089,26.7376024723053,4.817148387432098,0,0,2
22,1986,0,43,54,23,8,93.59469136393209,25.99406223744154,27.01244902610779,4.76767361164093,0,0,2
23,2001,1,9,10,13,12,180.8756778045057,38.63006271421909,66.2265477180481,7.523630559444427,1,2,8
23,2002,1,9,13,14,16,160.2144306885908,35.23075170814991,67.47339200973511,7.558828294277191,1,2,8
23,2003,1,14,14,19,21,155.9196246106066,46.833511069417,74.85533428192139,8.87638783454895,2,2,9
23,2004,1,15,21,24,21,157.643174217999,61.13812848925591,84.11926460266113,9.821359157562256,2,3,11
23,2005,1,15,27,23,30,155.3617620695495,77.78399623930454,93.0536208152771,10.61308807134628,2,2,12
23,2012,1,48,63,37,36,137.844156398725,154.8566296696663,165.3516554832458,19.01323568820953,3,2,20
23,2013,1,55,60,40,35,143.9676162669612,144.5591941475868,164.7785091400146,19.01692861318588,3,1,20
23,2014,1,56,58,45,34,143.3014800527939,141.1758124828339,172.4759860038757,19.90218091011047,3,0,20
23,2015,1,47,58,45,33,130.8072778417035,92.00794510543346,160.2565994262695,18.18174946308136,3,0,19
24,1989,1,11,20,30,30,113.1650855297375,35.65489053726196,50.89331579208374,6.044665455818176,3,7,9
24,1990,1,11,15,32,29,110.951155396908,42.31384191662073,54.41933560371399,6.800152957439423,1,7,10
24,1991,1,15,21,26,38,114.3729336144298,36.18108388036489,49.30448365211487,6.18120288848877,2,9,9
24,1992,1,7,11,11,19,141.406023850398,38.62663134932518,56.2029983997345,6.764418005943298,2,10,10
24,1993,1,6,8,5,9,163.0365966469923,23.20562116801739,40.12539029121399,4.137326180934906,0,2,7
24,1994,1,10,10,8,14,143.7759147769958,34.41004827618599,53.84956669807434,6.083105564117432,1,3,8
24,1995,1,5,9,7,26,127.0730984483407,20.25626190006733,33.0666971206665,3.792244553565979,0,2,4
25,1988,1,10,3,6,11,153.0887760293222,44.99684534966946,64.66497588157654,7.962279140949249,3,6,11
25,1989,1,7,5,5,12,161.9112981712145,35.58455929160118,50.27600240707397,6.044665455818176,2,8,9
25,1990,1,5,7,3,4,182.2560449860535,42.37086903303862,53.75786709785461,6.800152957439423,0,8,10
25,1991,1,8,1,9,8,182.0181615583713,36.16034854203463,47.69031047821045,6.174887180328369,1,8,9
25,1992,1,10,3,8,9,168.7417761346474,38.4706225246191,55.39381909370422,6.752199828624725,1,10,10
26,1985,1,13,21,16,30,102.713567567975,46.61731980741024,47.14023685455322,6.126740097999573,2,4,9
26,1986,1,12,18,27,31,101.7503587260332,39.05783109366894,53.63156151771545,6.725558400154114,2,4,10
26,1987,1,11,26,18,30,103.4778939624934,31.9341104477644,43.59384059906006,5.335994184017181,3,3,8
27,1985,1,6,7,8,6,140.1857955248131,45.94205357134342,47.01641082763672,6.031451284885406,1,4,9
27,1986,1,9,9,5,4,138.9469094736737,38.83739821612835,53.52284407615662,6.593594431877136,1,4,10
27,1987,1,8,9,6,8,141.7874142434384,31.71662129461765,43.49309253692627,5.204030215740204,2,3,8
27,1988,1,8,13,10,27,130.510545987117,45.00482827425003,64.91206240653992,7.963655054569244,3,5,11
28,1988,1,35,29,28,29,95.32407027076509,45.65695859491825,65.43946146965027,8.08463841676712,4,5,11
28,1989,1,26,27,30,34,102.5817251910544,35.69071628153324,51.05048799514771,6.16937655210495,3,7,9
28,1990,1,21,31,32,38,99.54537900177083,42.86515731364489,54.34829258918762,6.924864053726196,1,7,10
28,1991,1,29,32,41,27,103.3870316401912,36.41563039273024,48.90139150619507,6.303759574890137,2,8,9
28,1992,1,30,36,35,22,100.4107100052477,38.7156181037426,56.65297961235046,6.881072223186493,2,10,10
29,1988,1,25,30,26,30,97.94083152204611,45.31921483576298,65.24187159538269,8.086990237236023,4,5,11
29,1989,1,15,26,31,33,106.9940825441626,35.8228225260973,50.49767684936523,6.16937655210495,3,7,9
29,1990,1,10,19,32,29,109.7841061299745,42.62629989534616,53.52863240242004,6.924864053726196,1,7,10
29,1991,1,15,23,25,38,113.9535896540497,36.24627906829119,48.56021499633789,6.303759574890137,2,9,9
29,1992,1,11,30,31,38,108.6884652305299,38.55309039354324,56.26372361183167,6.881072223186493,2,11,10
29,1993,1,7,11,14,32,125.5480262142024,23.30523729324341,39.60311388969421,4.238831222057343,0,1,7
29,1994,1,11,16,16,32,121.5786929217842,34.59821827709675,53.48230719566345,6.18887460231781,1,2,8
30,2005,1,44,61,44,28,128.5883007863387,79.54798154532909,93.01777124404907,10.75095069408417,2,2,12
30,2006,1,54,61,41,30,131.6532500163988,102.0736739039421,114.964586019516,13.02842885255814,1,0,14
30,2007,1,64,69,37,31,145.0082399940538,99.08788166940212,110.6357674598694,12.1384574174881,2,0,13
30,2008,1,69,53,43,33,144.1450310133327,123.4533846378326,128.6451048851013,13.7454372048378,2,2,16
30,2009,1,58,56,49,34,138.9580766691787,97.3055936396122,140.2645421028137,15.87392103672028,2,0,17
30,2010,1,59,55,44,17,137.7357610332769,120.3295607119799,150.6400203704834,17.40116095542908,3,0,19
30,2011,1,62,51,46,18,142.803858190939,137.3616877943277,148.0864100456238,16.94204694032669,3,0,19
30,2012,1,62,51,53,17,143.3355352583636,155.7490829378366,165.1683497428894,19.05246078968048,3,2,20
30,2013,1,57,60,52,18,149.0817105930468,145.4136673361063,164.5952033996582,19.05615371465683,3,1,20
30,2014,1,59,64,46,25,148.6586679530507,141.9841885566711,172.5239834785461,19.94140601158142,3,0,20
30,2015,1,61,55,44,22,138.2914884386629,92.86220706999302,160.3660612106323,18.27149552106857,3,0,19
31,1996,1,10,11,7,19,129.760082653683,25.01764297485352,38.06974458694458,4.567902326583862,1,3,5
31,1997,1,13,17,23,34,113.1954625470655,29.94744386523962,50.99768352508545,6.024239659309387,1,2,7
31,1998,1,11,12,16,24,122.5020716713224,27.36442796885967,55.30848693847656,6.69098699092865,0,3,6
31,1999,1,18,36,36,37,102.1100088382109,32.71884340792894,63.18725824356079,7.375125885009766,0,3,8
31,2000,1,24,39,36,37,107.7617317908384,36.45480610430241,59.06613636016846,6.829221904277802,0,2,7
31,2001,1,16,15,20,35,134.2590830745866,39.49822150170803,66.45500469207764,7.73376190662384,1,2,8
31,2002,1,15,18,14,35,135.7657692096555,35.97793951630592,67.42861366271973,7.723480880260468,1,2,8
31,2003,1,49,36,53,30,114.890599715124,47.82126843929291,75.75688409805298,9.04432338476181,2,2,9
31,2004,1,17,29,22,39,144.5616533317771,61.7968462407589,84.25199842453003,9.923171103000641,2,3,11
31,2005,1,15,29,28,35,147.9747124205424,78.48432809114456,92.87625503540039,10.71742552518845,2,2,12
31,2006,1,20,24,26,38,150.8026069300516,101.1116709560156,114.3576109409332,13.03005594015121,1,0,14
31,2007,1,30,31,38,54,154.4115544163044,98.15197102725506,110.1375832557678,12.16293215751648,2,0,13
31,2008,1,24,39,40,49,151.0171790015931,122.6766582578421,128.2406940460205,13.76185518503189,2,2,16
31,2009,1,31,26,29,44,154.447089474839,97.00811319053173,139.2379622459412,15.87107509374619,2,0,17
31,2010,1,39,51,44,36,130.9958739790259,119.8124043643475,149.6505951881409,17.39661937952042,3,0,19
31,2011,1,39,44,53,31,135.8907890235597,136.8352733552456,146.8449883460999,16.93551307916641,3,0,19
31,2012,1,43,39,51,38,136.7312768863808,155.2109692245722,163.9206700325012,19.0459269285202,3,2,20
31,2013,1,47,40,48,35,143.3643779771189,144.8522217571735,163.083221912384,19.05028563737869,3,1,20
31,2014,1,46,44,48,38,143.2372761333642,141.4725158363581,170.9998240470886,19.93923652172089,3,0,20
31,2015,1,43,36,48,37,131.397353895385,92.22522974014282,158.8282823562622,18.21880507469177,3,0,19
32,2008,1,5,6,5,13,292.7550743348257,121.3278662413359,125.9102725982666,13.70796048641205,2,1,16
32,2009,1,2,4,5,8,297.673869769555,96.10687009990215,137.4712705612183,15.83936852216721,2,0,17
32,2010,1,26,26,31,39,145.7235870704769,119.2947499454021,149.0825700759888,17.40176653862,3,0,19
32,2011,1,42,36,46,35,137.239153031587,136.1974030733109,146.7604551315308,16.92819702625275,3,0,19
32,2012,1,46,30,45,41,137.9800553493105,154.6766556799412,163.8644418716431,19.03861087560654,3,2,20
32,2013,1,28,34,33,39,155.3128375167194,144.6245942264795,163.0646462440491,19.04586404561996,3,1,20
32,2014,1,29,33,34,40,156.9274081286014,141.1981269717216,170.7209677696228,19.9643149971962,3,0,20
32,2015,1,22,27,30,29,153.3706530812308,92.00300686061382,158.2059845924377,18.24343794584274,3,0,19
33,1996,1,11,9,8,17,131.8137853616821,24.55172389745712,38.88677644729614,4.471242189407349,1,3,5
